FYE 6/30,Lottery,Plainfield Greyhound,Bridgeport Shoreline Star,Hartford Jai Alai,Milford Jai Alai,Pari-mutuel Subtotal,Off-Track Betting,Charitable Games,Foxwoods,Mohegan Sun,Casino Subtotal,Grand Total
1972,8150000,,,,,,,,,,,"$8,150,000 "
1973,16500000,,,,,,,,,,,"* 16,500,000"
1974,16000000,,,,,,,,,,,"* 16,000,000"
1975,15000000,,,,,,,,,,,"* 15,000,000"
1976,31900000,4924536,225333,384241,,5534110,,,,,,"* 37,434,110"
1977,25341822,9897029,7539664,4215515,949904,22602112,8000000,,,,,"* 55,943,934"
1978,41790050,8119339,4850208,4708105,4556746,22234398,8800000,,,,,"* 72,824,448"
1979,43117000,7806377,5092827,4199321,4416805,21515330,7800000,,,,,"* 72,432,330"
1980,54535048,7176368,4739781,4188854,4738019,20843022,13100000,,,,,"* 88,478,070"
1981,57653000,7517524,4659929,3930327,4096110,20203890,13500000,,,,,"* 91,356,890"
1982,71000000,8145685,4479313,4934239,4090059,21649296,20200000,,,,,"* 112,849,296"
1983,80500000,9253891,4412450,4845766,4479478,22991585,19000000,,,,,"* 122,491,585"
1984,105425000,9791909,4545535,4883719,4519902,23741065,18800000,,,,,"* 147,966,065"
1985,148800000,9875591,4385627,5218887,4843053,24323158,18700000,,,,,"* 191,823,158"
1986,190850000,9629358,5474825,5238231,3965388,24307802,18900000,,,,,"* 234,057,802"
1987,214100000,9545366,4939500,5441696,4926814,24853376,18700000,,,,,"* 257,653,376"
1988,225000000,8174977,3414498,4526011,5295122,21410608,18800000,450209,,,,"* 265,660,817"
1989,219650000,7919128,3648252,3360573,4891112,19819065,19600000,1662433,,,,"* 260,731,498"
1990,227650000,6957952,3820124,4257677,4743204,19778957,18300000,1048127,,,,"* 266,777,084"
1991,228600000,5936699,3728412,3931354,4157985,17754450,10900000,1326882,,,,"* 258,581,332"
1992,221300000,5259612,3430594,3987895,3843258,16521359,14400000,1500035,,,,"* 253,721,394"
1993,221700000,2578114,2632772,2962939,3138557,11312382,16200000,1735931,30000000,,30000000,"* 280,948,313"
1994,217250000,682389,446604,519205,713048,2361246,5788175,1805800,113000000,,113000000,"* 340,205,221"
1995,249650000,592446,350990,421212,639706,2004354,6129150,1748657,135724017,,135724017,"* 395,256,178"
1996,262050000,490421,210335,141034,858996,1700786,6610554,1723649,148702765,,148702765,"* 420,787,754"
1997,251520868,308935,47231,0,521138,877304,6874079,1491772,145957933,57643836,203601769,"* 464,365,792"
1998,264274830,281153,38816,0,401319,721288,5441570,1423223,165067994,91007858,256075852,"* 527,936,763"
1999,271308022,255094,37090,0,341630,633814,5472648,1258380,173581104,113450294,287031398,"* 565,704,262"
2000,253598047,210483,35425,0,324365,570273,5616495,1205865,189235039,129750030,318985069,"* 579,975,749"
2001,252002987,167740,40930,0,294562,503232,5674281,1162360,190683773,141734541,332418314,"* 591,761,174"
2002,271509680,162945,41969,0,137764,342678,5736901,1284454,199038210,169915956,368954166,"* 647,827,879"
2003,256814859,134743,43222,0,0,177965,5783231,1230391,196300528,190953944,387254472,"* 651,260,918"
2004,280763074,109394,43116,0,0,152510,5783041,1398295,196883096,205850884,402733980,"* 690,830,900"
2005,268515000,64837,39462,0,0,104299,5275182,1431054,204953050,212884444,417837494,"* 693,163,029"
2006,284864998,0,25757,0,0,25757,5055057,1305163,204505785,223020826,427526611,"* 718,777,586"
2007,279000000,0,0,0,0,0,4808425,1297756,201380257,229095455,430475712,"* 715,581,893"
2008,283000000,0,0,0,0,0,4603607,1211178,190037675,221373298,411410973,"* 700,225,758"
2009,283000000,0,0,0,0,0,4195243,1063435,177153485,200651400,377804885,"* 666,063,563"
2010,285500000,0,0,0,0,0,3816676,945375,169408149,189845097,359253246,"* 649,515,297"
2011,289300161,0,0,0,0,0,3699415,876064,174092415,185488712,359581127,"* 653,456,767"
2012,310000000,0,0,0,0,0,3766758,683627,165547090,178783321,344330411,"* 658,780,796"
2013,312100270,0,0,0,0,0,3644167,425956,138531943,157863949,296395892,"* 612,566,285"
2014,319500000,0,0,0,0,0,3723791,416962,131527642,148345903,279873545,"* 603,514,298"
,8210084716,141970035,77420591,76296801,75884044,371571471,371198446,33113033,3641311950,3047659748,6688971698,"$15,674,939,364 "