week_ending,gross_tickets_written,voids,tickets_cashed,total_taxable_receipts
7/6/19,,,,
7/13/19,,,-2739,-2739
7/20/19,,,,
7/27/19,,,,
8/3/19,,,,
8/10/19,,,,
8/17/19,,,,
8/24/19,,,,
8/31/19,825645,-3377,-797234,25035
9/7/19,1875724,-5643,-1594629,275453
9/14/19,2081673,-3151,-1827896,250626
9/21/19,2657668,-16856,-2442813,197999
9/28/19,2449028,-4315,-2134726,309986
10/5/19,2814709,-1278,-2359477,453953
10/12/19,3276907,-1687,-2868638,406581
10/19/19,3075283,-3662,-2707432,364190
10/26/19,3507968,-3899,-2902286,601782
11/2/19,3885784,-2845,-4454508,-571570
11/9/19,4260573,-2252,-3682085,576236
11/16/19,3980292,-11106,-3691718,277467
11/23/19,3433670,-284,-3191453,241933
11/30/19,4575713,-423,-4370246,205044
12/7/19,3735756,-4652,-3493078,238026
12/14/19,3461156,-1497,-3028329,431329
12/21/19,3245754,-330,-3095817,149607
12/28/19,3533081,-214,-3269079,263787
1/4/20,4316588,-2,-3864866,451720
1/11/20,4785896,-4017,-4465559,316320
1/18/20,5326624,-47,-5143663,182914
1/25/20,5308989,-8,-5289063,19918
2/1/20,4873082,-236,-4478940,393906
2/8/20,6909291,-50,-7645275,-736034
2/15/20,5989378,-356,-5601189,387833